Tên,Googlemap,Link ảnh,Tọa độ,Đánh giá,Số lượng đánh giá,Địa chỉ
Cơm Hến Phương Loan,https://maps.app.goo.gl/XcZUSPvgoysxsAcEA,https://hue75.net/wp-content/uploads/2023/08/Dac-san-com-hen-Hue-noi-tieng-cua-co-do.jpg,"16.4657553,107.5312883","4,8",8,"108 Kim Long, Thành phố Huế, Thừa Thiên Huế"
Cơm Hến Bà Đen,https://maps.app.goo.gl/dCvKaGq2JZVgHQeC6,https://top10hue.com.vn/wp-content/uploads/2021/11/Com-Hen-Hoa-Dong.jpg,"16.4694593,107.5627881","4,6",71,"31 Trần Quang Khải, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
"Cơm hến, bún hến Lành",https://maps.app.goo.gl/5CLe9VWTE5BTopJ68,https://bazantravel.com/cdn/medias/uploads/27/27644-com-hen-hue-670x446.jpg,"16.4604976,107.5542319","4,4",34,"23 Ngô Gia Tự, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Phở Lý Quốc Sư Huế ,https://maps.app.goo.gl/qr85o6An3noA8zMn8,https://pholyquocsu.vn/wp-content/uploads/2022/09/pho-bap-loi-rua-700x700.jpg,"16.4636114,107.5880388","3,3",61,"0 Hà Nội, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Phở Mai Đào Huế,https://maps.app.goo.gl/nvK1iS7G1jXiuPeAA,https://toplist.vn/images/800px/pho-mai-dao-890674.jpg,"16.4683346,107.5970852","4,4",137,"21 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Phở Thành,https://maps.app.goo.gl/RHrWvQwoiX8qjPm78,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/6c/8b/4e/ph-bo-tai-eye-round-steak.jpg,"16.4641213,107.594571","4,9",118,"13C Tố Hữu, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Cơm niêu Lửa Việt,https://maps.app.goo.gl/7tZA4NMhB31FDCZu5,https://mia.vn/media/uploads/blog-du-lich/den-nha-hang-com-nieu-lua-viet-de-duoc-quay-quan-ben-mam-com-gia-dinh-05-1638294074.jpg,"16.4681577,107.597879","3,7",165,"39 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế 52000"
Cơm Niêu Huế - Urban,https://maps.app.goo.gl/7nsb21GPaywsz78FA,https://tourdanangcity.vn/wp-content/uploads/2023/04/nha-hang-com-nieu-hue-2.jpg,"16.4700276,107.5907919","4,5",232,"23 Chu Văn An, Phú Hội, Thành phố Huế, Thừa Thiên Huế 52000"
Huế Cơm Niêu,https://maps.app.goo.gl/86xYzBJGdrXJj73q7,https://static.vinwonders.com/production/com-nieu-hue-banner.jpeg,"16.4697247,107.5886008","4,5",22,"45 Lê Lợi, Phú Hội, Thành phố Huế, Thừa Thiên Huế 530000"
Bun Bo Hue My Tam,https://maps.app.goo.gl/kLgLAGFUGkgevGhL6,https://www.cotrang.org/tin-tuc/images/quan-nhau-nha-hang/hue/bun-bo-my-tam/bun-bo-hue-my-tam-tai-hue-ttgt-02.jpg,"16.4634589,107.5695955","3,6",718,"3 Trần Cao Vân, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Quán Cẩm - Bún Bò Huế,https://maps.app.goo.gl/eo4aEDfhRsJohzJr9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/8c/48/1a/caption.jpg,"16.4634589,107.5695955","3,8",553,"45 Lê Lợi, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Bún Bò Huế Sen - Quán ăn sáng chất lượng tại Huế,https://maps.app.goo.gl/NddQXGZzxsZGuYoN9,https://nhahangcontoc.com/wp-content/uploads/2022/12/bun-bo-hue-1_1628650972.jpg,"16.4634589,107.5695955","4,8",504,"69 Võ Thị Sáu, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
QUÁN CHAY THANH LIỄU,https://maps.app.goo.gl/pKdcvJGN3zGfvwwJ7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/00/ad/16/caption.jpg,"16.460361,107.5095003","4,5",674,"50 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Nhà Hàng Cơm Chay Bồ Đề,https://maps.app.goo.gl/88VWUKA7rQZzDXNa8,https://diadiemanuong.net.vn/upload//images2/users/adminweb@yahoo.com/2020611074050_chaybode.jpg,"16.460361,107.5095003","3,8",245,"11 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Nhà Hàng Chay Tịnh Quán,https://maps.app.goo.gl/PJ8ppss2jhuW8K1h9,https://assets.grab.com/wp-content/uploads/sites/11/2020/02/10010905/111-2.jpg,"16.460361,107.5095003","4,2",235,"2 Trần Cao Vân, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
"Quán Cồn Tè , Phạm văn đồng, Huế",https://maps.app.goo.gl/iHg9S5mjVonEBKu98,https://images.foody.vn/res/g20/191116/prof/s640x400/foody-mobile-soveo-jpg-326-635846636428369812.jpg,"16.4605176,107.5095002","4,2",25,"52 Hồng Khẳng, Vỹ Dạ, Thành phố Huế, Thừa Thiên Huế"
HA sea foods,https://maps.app.goo.gl/e1cExNd8KQ7iDWLv7,https://cdn.alongwalk.info/info/wp-content/uploads/2022/03/16064756/image-5-delicious-seafood-restaurants-in-ha-long-fresh-food-and-listed-prices-164736287533828.jpg,"16.4646332,107.5366227","3,5",30,"16 Nguyễn Huệ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Nhà hàng Biển Ngọc,https://maps.app.goo.gl/wyWwy3j1cg3b2SuV7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bc/42/67/bien-ngoc.jpg,"16.4646332,107.5366227","3,9",227,"12 Lê Minh, An Đông, Thành phố Huế, Thừa Thiên Huế"
Cháo Vịt Thuận,https://maps.app.goo.gl/iGj4dE4Wh1SxQGU47,https://amthucxuhue.com/wp-content/uploads/2022/01/quan-vit-thuan-hue-3.jpg,"16.4559504,107.4994763","4,2",378,"94 Bùi Thị Xuân, Phường Đúc, Thành phố Huế, Thừa Thiên Huế"
Cháo Lòng O Chạy,https://maps.app.goo.gl/kQdofcAKKHZRcsdd6,https://cdn.alongwalk.info/info/wp-content/uploads/2022/07/27022127/image-chao-long-o-chay-165883808698548.jpg,"16.4611819,107.5216409","3,8",9,"FHHM+4WG, Phan Đăng Lưu, Phú Hoà, Thành phố Huế, Thừa Thiên Huế"
Cháo lòng Cây Gòn,https://maps.app.goo.gl/6C7QenKnRD98yqZ69,https://static.vinwonders.com/production/chao-long-hue-1.jpeg,"13.9446382,109.0613313","4,6",19,"67-57 Trương Định, Nhơn Thành, An Nhơn, Bình Định"
Thúy - Bánh Canh Nam Phổ,https://maps.app.goo.gl/SXgFsmjuJMYgT5BV8,https://bazantravel.com/cdn/medias/uploads/74/74529-banh-canh-nam-pho-hue.jpg,"16.464912,107.571137","4,2",438,"16 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Bánh Bèo & Bánh Canh Nam Phổ Bé Huế,https://maps.app.goo.gl/X5tBXEzXUmdShDfBA,https://khamphahue.com.vn/Portals/0/Medias/Nam2023/T2/Khamphahue_QuanThuyPhamHongThai6.jpg,"16.4806043,107.5629457",5,10,"179 Đường Xuân 68, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
"Bánh Canh Nam Phổ + 
Bèo Nậm Lọc - Quán 
Hằng",https://maps.app.goo.gl/nG5NBUbKiJS4RLCy5,https://bazantravel.com/cdn/medias/uploads/74/74526-banh-canh-nam-pho-ngon-nuc-tieng-700x875.jpg,"16.4663133,107.5770717","4,6",11,"9 Đường Phó Đức Chính, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Bún Nghệ,https://maps.app.goo.gl/LE1hAFg5d1NxEk3j9,https://statics.vinwonders.com/bun-long-xao-nghe-da-nang-1_1702228770.jpg,"16.473053,107.5622782","4,2",46,"19 Trần Quang Khải, tổ 8, Thành phố Huế, Thừa Thiên Huế"
Bún Nghệ O Két,https://maps.app.goo.gl/qcGu9CMagUAkD5F9A,https://mia.vn/media/uploads/blog-du-lich/bun-nghe-hue-mon-an-dac-san-nuc-tieng-xu-kinh-ky-1-1638125137.jpg,"16.4716421,107.5924273","4,2",62,"2 Vũ Xuân Chiêm, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Bún Nghệ Mệ Cam,https://maps.app.goo.gl/iAvEnPvcEyBAjmFf6,https://mia.vn/media/uploads/blog-du-lich/bun-nghe-hue-mon-an-dac-san-nuc-tieng-xu-kinh-ky-1638125677.jpg,"16.4552639,107.5612278","4,7",3,"13 Bảo Quốc, Phường Đúc, Thành phố Huế, Thừa Thiên Huế"
BÁNH CANH CÁ LÓC THUỲ DƯƠNG,https://maps.app.goo.gl/9CWuJkGLuupCtR9S7,https://mia.vn/media/uploads/blog-du-lich/banh-canh-ca-loc-thuy-duong-khu-pho-am-thuc-ngon-tru-danh-ban-nhat-dinh-khong-duoc-bo-lo-03-1638782928.jpeg,"16.4577026,107.544718",5,3,"48 Trần Nguyên Đán, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
Hằng Bánh Canh Cá Lóc,https://maps.app.goo.gl/hLZvKnZ1HbERk4ju5,https://statics.vinwonders.com/banh-canh-ca-loc-hue-01_1702314646.jpg,"16.4630429,107.5782886","4,4",68,"136 Bà Triệu, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
Bánh Canh Cá Lóc O Hoa,https://maps.app.goo.gl/GdDkrXtfLothphN48,https://statics.vinwonders.com/banh-canh-ca-loc-hue-01_1702314646.jpg,"16.4577026,107.544718","4,2",121,"6 Điện Biên Phủ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Bánh Canh Cua Rời Mệ Nga,https://maps.app.goo.gl/25wRpBXqP4hw44Yb8,https://thanhphohue.net/wp-content/uploads/2017/11/banh_canh_cua_roi_hue_02.jpg,"16.4577829,107.544718","4,9",541,"32 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 530000"
Bánh Canh Cua Hương,https://maps.app.goo.gl/HbYDwC5a8VnwjUQV7,https://thanhphohue.net/wp-content/uploads/2017/11/banh_canh_cua_roi_hue_03.jpg,"16.4577829,107.544718","4,3",566,"30 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 530000"
Đường bánh canh Hàn Thuyên,https://maps.app.goo.gl/C1K8zKdY8FFA2tCM7,https://spk.vn/wp-content/uploads/2021/04/banh-canh-han-thuyen-mon-ngon-duong-pho-nuc-tieng-xu-hue-banh-canh-han-thuyen-hue.jpg,"16.4577829,107.544718","4,2",82,"FHCJ+XC9, Hàn Thuyên, Phú Hậu, Thành phố Huế, Thừa Thiên Huế"
Bánh canh Tôm tít,https://maps.app.goo.gl/maL8ihw5A4UkahzV7,https://thuhien.vn/wp-content/uploads/2021/06/banh_canh_tom_tit_nha_trang.jpg,"16.457129,107.5822338","4,2",8,"121 Phan Đình Phùng, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Bánh Canh Tôm Tít O Hoa,https://maps.app.goo.gl/HFS4aEjYfrbYrj9R9,https://thuhien.vn/wp-content/uploads/2021/06/banh_canh_tom_tit_nha_trang.jpg,"16.4577273,107.5629439",4,1,"6 Điện Biên Phủ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Bánh Canh Tôm Tít O Tâm,https://maps.app.goo.gl/wk2ijgWDZFe8NWKz6,https://thuhien.vn/wp-content/uploads/2021/06/banh_canh_tom_tit_nha_trang.jpg,"16.4830649,107.5249804",3,1,"6 Điện Biên Phủ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Bùn Riêu Cua,https://maps.app.goo.gl/o1gEkHyQBkUuYNrw9,https://cdn.tgdd.vn/2021/04/CookProduct/BeFunky-collage(4)-1200x676.jpg,"16.4579525,107.581413","4,2",21,"14 Nguyễn Huệ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Bún riêu cua,https://maps.app.goo.gl/rUuiaypTHiqPEZuT6,https://cdn.tgdd.vn/2021/04/CookProduct/BeFunky-collage(4)-1200x676.jpg,"16.4659052,107.5955217",chưa có đánh giá,0,"21 Trần Quang Khải tổ 7, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Bún riêu cua phương Tâm,https://maps.app.goo.gl/WSzgB9u9rGshQxTx7,https://cdn.tgdd.vn/2021/04/CookProduct/BeFunky-collage(4)-1200x676.jpg,"16.4585909,107.5880733",5,1,"29 Đường Lương Văn Can, An Cựu, Thành phố Huế, Thừa Thiên Huế 530000"
Lò Bánh Lê Lợi,https://maps.app.goo.gl/EcPh4RCUWgiMwGq17,https://myinhue.org/wp-content/uploads/2023/07/bmbt1-min.jpeg,"16.469767,107.5572725","3,9",51,"45 Lê Lợi, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Tiệm Bánh Đồng Tâm Bakery,https://maps.app.goo.gl/jNW9fQbo2x4625CQ7,https://media.diadiem247.com/uploads/w900/2019/03/13/dong-tam-bakery-ba-trieu-6364843370698218205c88deb4459e5.jpg,"16.4518718,107.6025081","3,8",43,"62 An Dương Vương, An Đông, Thành phố Huế, Thừa Thiên Huế"
Tiệm Bánh Bảo Thạnh,https://maps.app.goo.gl/KyGDQQxrfCDvmFwB6,https://toplist.vn/images/800px/tiem-banh-bao-thanh-791308.jpg,"16.4713962,107.5871538","4,2",223,"167 Trần Hưng Đạo, Phú Hoà, Thành phố Huế, Thừa Thiên Huế"
"The Pizza Company 
Vincom Huế",https://maps.app.goo.gl/ztf6W9qWSAN1whxD6,https://img.mservice.com.vn/common/u/2e02fb5fe4f64fb55bc713540643c6f8eae702d101cea8c59afc49cfc505fc37/baead373-907f-4066-86b0-e0b870a360f6joy_yqco.jpeg,"16.4630866,107.0177487","4,3",325,"50A Hùng Vương, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 530000"
Pizza Hut go! Huế,https://maps.app.goo.gl/ESDgTBosZKsQCWLk8,https://images.foody.vn/res/g113/1120732/prof/s640x400/vn-11134513-7r98o-lw6l2vwnoqft9f-e8740e9d-240606091301.jpeg,"16.4609001,107.5969821","4,9",187,"174 Bà Triệu, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Little Italy Restaurant,https://maps.app.goo.gl/HDn8Pr5jqQnot8vv6,https://file.hstatic.net/200000233557/article/combo_littitaly205_94243072a5f54e30aaa56bdd784fe587_large.jpg,"16.4679524,107.5928848",4,1047,"10 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Lotteria Huế Coopmart,https://maps.app.goo.gl/YYbZAmBp7wPrFNRD7,https://toplist.info/images/800px/lotteria-756278.jpg,"16.4714268,107.576854",3.9,221,"06 Trần Hưng Đạo, Phú Hoà, Thành phố Huế, Thừa Thiên Huế"
KFC Big C Huế,https://maps.app.goo.gl/jtBsKPHBLZu42nmM8,https://nhahanghue.com/wp-content/uploads/kfc-bigC-hue.jpg,"16.4714268,107.576854","3,7",153,"Big C, Tòa Nhà Phong Phú, Bà Triệu/Khu Hùng Vương, P, Thành phố Huế, Thừa Thiên Huế 530000"
Chicken Plus Trần Cao Vân - Huế,https://maps.app.goo.gl/r9qiJdRQKqakfMSp9,https://toplist.vn/images/800px/chicken-plus-tran-cao-van-1200632.jpg,"16.465495,107.5917324","2,4",26,"22 Trần Cao Vân, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Yaki Yum Sushi & BBQ Buffet,https://maps.app.goo.gl/zQPmLTjj6rD34yvf7,https://toplist.vn/images/800px/yaki-yum-sushi-amp-bbq-buffet-1276240.jpg,"16.4652612,107.5947846","4,9",1297,"59 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế 530000"
Sakido BBQ,https://maps.app.goo.gl/LuUKMac53sL7vpfn7,https://toplist.vn/images/800px/sakido-bbq-1311243.jpg,"16.4619112,107.6017573","4,5",44,"32 Trường Chinh, Xuân Phú, Thành phố Huế, Thừa Thiên Huế"
King BBQ Buffet,https://maps.app.goo.gl/3ij9W9rD8hrD8NSD7,https://statics.vincom.com.vn/vincom-ho/brand/king-bbq/king-bbq-3.png,"15.8478447,102.2010625","4,8",1154,"50 Hùng Vương, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Kicochi House - BBQ & Hotpot,https://maps.app.goo.gl/tRPHa1EVQn6FxKnZ6,https://toplist.vn/images/800px/kicochi-house-hue-572856.jpg,"16.4652612,107.5767602","3,5",124,"27 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Tukcha Hot Pot Buffet,https://maps.app.goo.gl/gSdPPsxSkZeyi39P7,https://images.foody.vn/res/g106/1057916/prof/s640x400/foody-upload-api-foody-mobile-125161485_2045372743-201201154545.jpg,"16.463638,107.5943481",4,46,"50A Hùng Vương, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
1988 NHÀ HÀNG HÀN QUỐC,https://maps.app.goo.gl/ybbQT5kqLFXmhbgu6,https://toplist.vn/images/800px/soul-1988-1237213.jpg,"16.4755654,107.5536238","4,8",304,"14 Kiệt 14 La Sơn Phu Tử, Tây Lộc, Thành phố Huế, Thừa Thiên Huế 52000"
"Nhà Hàng Nhật Bản Shino Sushi - 22 Nguyễn Thái Học, Huế",https://maps.app.goo.gl/bMLiB3q34qLTPv3d6,https://shinosushi.com/wp-content/uploads/2023/02/PDN_9457-Copy-1024x684.jpg,"16.4653019,107.5767601","4,8",822,"22 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Tiệm Cơm Âm Phủ,https://maps.app.goo.gl/8AWpWVC38ETEYJ2w5,https://ticotravel.com.vn/wp-content/uploads/2022/05/Com-am-phu-Hue-1.jpg,"16.4683028,107.5958966","2,7",208,"51 Nguyễn Thái Học, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Cơm âm phủ 2,https://maps.app.goo.gl/SL5BUcghSKDXVoCb8,https://ticotravel.com.vn/wp-content/uploads/2022/05/Com-am-phu-Hue-1.jpg,"16.4685283,107.5937672","3,1",17,"33 Kiệt 64 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
Vịt lộn um bầu Huế,https://maps.app.goo.gl/izAFJuthJRK6V6hs7,https://cdn.alongwalk.info/vn/wp-content/uploads/2023/06/09212429/image-thuong-thuc-hot-vit-lon-um-bau-vua-ngon-vua-bo-khach-dong-nuom-nuop-tai-hue-ed06233859e821ea3c2b98ac3946a460.jpg,"16.4570533,107.5941935","4,9",30,"11 Nguyễn Khuyến, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 530000"
Vịt lộn um bầu bé Đen,https://maps.app.goo.gl/PDptGYhoQuJabnzg7,https://cungdi.net/uploads/travel/hue/trung-vit-lon-um-bau.jpeg,"16.4569797,107.5876493","4,3",106,"101 Phan Đình Phùng, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Ốc Minh Nghĩa,https://maps.app.goo.gl/vBy1gzxryao2LTPV8,https://khamphahue.com.vn/Portals/0/ThiTNT/Top10QuanOcNgonTaiHue/OcMinhNghia_NgonNhatHue.jpg,"16.4410481,107.5836548",4,450,"253 Phan Bội Châu, Trường An, Thành phố Huế, Thừa Thiên Huế"
Quán Sò Huế,https://maps.app.goo.gl/p7Ln2Pem3ddCZ7Lc8,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgtOuvmom4AwWHpKw-RTwoM9giNYy29ZoL-EUltIjqXZEQJ96ixxra3ZbAOXbMeBRqENzpcyB8vjFvTFXPa5EyPADSq19V21nQHmMwT_3ARHQuAu5NpzI27B-Q_fQ1PqSU9-IkHaWXAfZA94N_8dI-ohPnXKoafuC9G4_QLi9sTSwZiPe1hwekvBnl3/s320/51149786-2FC1-4290-B22A-32BD6809F110.jpeg,"16.4611499,107.6044976",4,306,"15 Hoàng Văn Thụ, An Đông, Thành phố Huế, Thừa Thiên Huế 530000"
Ốc Triều Thủy,https://maps.app.goo.gl/7uFpP6rhqzZ1nsph9,https://cungdi.net/uploads/travel/hue/357813150_742629561198010_3564730971429500420_n.jpg,"16.5150673,107.5914827","4,3",246,"Làng, Triều Thủy, Phú Vang, Thừa Thiên Huế 530000"
Ốc cay,https://maps.app.goo.gl/xq3V1RGf8sJQGGDp6,https://static.vinwonders.com/production/quan-oc-hue-3.jpg,"16.4490203,107.6031957","3,7",37,"38 Hồ Đắc Di, An Cựu, Thành phố Huế, Thừa Thiên Huế"
