"_id","address","budget","coordinate","gg_map","img_url","interests","moods","name"
"669a0128441cc57e8ead67a3","Duong Xuan Thuong III village, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế","low","[ ""16.4388776"", ""107.572025"" ]","https://maps.app.goo.gl/8VR2SG5SpEvEJmMDA","https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Tu_Hieu_Pagoda.jpg/640px-Tu_Hieu_Pagoda.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Từ Hiếu"
"669a0128441cc57e8ead67a4","17 Bảo Quốc, Phường Đúc, Thành phố Huế, Thừa Thiên Huế","high","[ ""16.4540694"", ""107.5796183"" ]","https://maps.app.goo.gl/gn32TWJE6U1jXVZh8","https://statics.vinpearl.com/chua-bao-quoc-2_1633439462.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Báo Quốc"
"669a0128441cc57e8ead67a5","Phong Hiền, Phong Điền, Thừa Thiên Huế","high","[ ""16.5514623"", ""107.467452"" ]","https://maps.app.goo.gl/wa1aKw4a3bGf7q5MA","https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T7/anhchuagiacluong.2022.07.4..jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Giác Lương"
"669a0128441cc57e8ead67a6","Thôn Một, Phú Lộc, Thừa Thiên Huế","low","[ ""16.3430157"", ""107.8898463"" ]","https://maps.app.goo.gl/12z5HPZxwGnpi5EKA","https://upload.wikimedia.org/wikipedia/commons/a/ae/Chua_thanh_duyen.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Thánh Duyên"
"669a0128441cc57e8ead67a7","1 Sư Liễu Quán, Trường An, Thành phố Huế, Thừa Thiên Huế","low","[ ""16.4517449"", ""107.5815502"" ]","https://maps.app.goo.gl/cT4vWKRsQKRXhviT8","https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220803_tudam1.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Từ Đàm Huế"
"669a0128441cc57e8ead67a8","Thủy Bằng, Hương Thủy, Thừa Thiên Huế","high","[ ""16.392005"", ""107.5842296"" ]","https://maps.app.goo.gl/rWAwag24KoMBXVLY8","https://www.geoholidayclub.org/wp-content/uploads/2018/05/tuongphat680x0-1497950244.jpg","[ ""architecture"", ""art"", ""culture"" ]","[ ""spiritual"" ]","Chùa Phật Đứng Huế"
"669a0128441cc57e8ead67a9","Hương Hòa, Thành phố Huế, Thừa Thiên Huế ","low","[ ""16.4531082"", ""107.5449069"" ]","https://maps.app.goo.gl/cbAAKwHnasvbCoXZ7","https://ik.imagekit.io/tvlk/blog/2023/06/chua-thien-mu-1.jpg","[ ""architecture"", ""art"", ""heritage"", ""history"", ""nature"", ""wellness"" ]","[ ""romantic"", ""spiritual"", ""sightseeing"" ]","Chùa Thiên Mụ"
"669a0128441cc57e8ead67aa"," Chầm, Hương Hồ, Hương Trà, Thừa Thiên Huế","high","[ ""16.4512429"", ""107.4941086"" ]","https://maps.app.goo.gl/mUpQsgaPDwpX8Tym8","https://imgcdn.tapchicongthuong.vn/tcct-media/23/8/13/lac-buoc-giua-chon-bong-lai-tien-canh-huyen-khong-son-thuong_64d87348dcd34.jpg","[ ""architecture"", ""art"", ""culture"", ""nature"", ""wellness"" ]","[ ""spiritual"", ""sightseeing"", ""relax"" ]","Huyền Không Sơn Thượng"
"669a0128441cc57e8ead67ab","Lộc Điền, Phú Lộc, Thừa Thiên Huế","low","[ ""16.2462431"", ""107.7927272"" ]","https://maps.app.goo.gl/ZQQcZMKqLfGwczfi9","https://static.vinwonders.com/production/thien-vien-truc-lam-bach-ma-hue-1.jpg","[ ""architecture"", ""art"", ""culture"", ""nature"", ""wellness"" ]","[ ""spiritual"", ""sightseeing"", ""relax"" ]","Thiền viện Trúc Lâm Bạch Mã"
"669a0128441cc57e8ead67ac","91 Điện Biên Phủ, Trường An, Thành phố Huế, Thừa Thiên Huế","high","[ ""16.4532094"", ""107.5812423"" ]","https://maps.app.goo.gl/nng8k1jXbGZwsgwMA","https://static.vinwonders.com/production/chua-thien-minh-1.jpeg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Thiên Minh"
"669a0128441cc57e8ead67ad"," Bạch Đằng, Phú Cát, Thành phố Huế, Thừa Thiên Huế","low","[ ""16.4778855"", ""107.5874966"" ]","https://maps.app.goo.gl/aZyvW7kGiAk5P9X98","https://statics.vinwonders.com/chua-dieu-de-1_1633493534.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Diệu Đế"
"669a0128441cc57e8ead67ae","Hương Hòa, Thành phố Huế, Thừa Thiên Huế","high","[ ""16.4599042"", ""107.5408074"" ]","https://maps.app.goo.gl/SVkWhT3bzVQvPjnm9","https://khamphahue.com.vn/Portals/0/Medias/Nam2021/T11/Khamphahue-Chua-Phuoc-Duyen-Hue17.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Phước Duyên"
"669a0128441cc57e8ead67af","somewhere","low","[ ""16.4461048"", ""107.577473"" ]","https://maps.app.goo.gl/476rNx1Pd7Eddakw5","https://thuathienhue.gov.vn/Portals/0/Nam2020/anhchuatuongvan1.2022..jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Tường Vân"
"669a0128441cc57e8ead67b0","somewhere","high","[ ""16.4428993"", ""107.5876173"" ]","https://maps.app.goo.gl/P1HCzgPKSsyVxPVy5","https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220804_QUOCAN1.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Quốc Ân"
"669a0128441cc57e8ead67b1","somewhere","high","[ ""16.4386221"", ""107.611085"" ]","https://maps.app.goo.gl/uT1UbrGq4sNbCgvBA","https://cdn.media.dulich24.com.vn/diemden/chua-dieu-vien-5430/chua-dieu-vien.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Diệu Viên"
"669a0128441cc57e8ead67b2","somewhere","low","[ ""16.4396302"", ""107.5791786"" ]","https://maps.app.goo.gl/maei7JPYfdveUBdJA","https://image.giacngo.vn/w770/Uploaded/2024/estnselxslt/2021_04_26/10-1983.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Từ Lâm"
"669a0128441cc57e8ead67b3","somewhere","low","[ ""16.3722195"", ""107.8129335"" ]","https://maps.app.goo.gl/wz1qaJqi5zFgVptf7","https://thuathienhue.gov.vn/Portals/0/Medias/Nam2022/T8/M_20220804_chuahatrung1.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Hà Trung"
"669a0128441cc57e8ead67b4","somewhere","low","[ ""16.4266856"", ""107.5838954"" ]","https://maps.app.goo.gl/wvZWwcLMRAfnWpWC6","https://bvhttdl.mediacdn.vn/291773308735864832/2022/8/9/chua-phat-tich-truc-lam-ban-gioc-dat-phat-o-mien-bien-gioi-cao-bang-1-1660016750986343081140-1660038406623-16600384069372014855399.jpg","[ ""architecture"", ""culture"" ]","[ ""spiritual"" ]","Chùa Trúc Lâm"
